open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
370.96,376.35,370.18,376.17,27182300.0,375.6619576346,369.503237617,375.4757,370.2818116225,27182315.0,1.0,0.0,MSFT,XNAS,"November 16, 2023 12:00 AM"
463.0,467.28,459.65,466.95,3655974.0,467.28,459.65,466.95,463.0,3655974.0,1.0,0.0,NFLX,XNAS,"November 16, 2023 12:00 AM"
371.28,373.13,367.11,369.67,26860100.0,372.4478444325,366.4388501853,368.9876,370.6012265991,26860095.0,1.0,0.75,MSFT,XNAS,"November 15, 2023 12:00 AM"
452.81,462.7499,452.45,461.94,5035283.0,462.7499,452.45,461.94,452.81,5035283.0,1.0,0.0,NFLX,XNAS,"November 15, 2023 12:00 AM"
187.85,189.5,187.78,188.01,53790500.0,189.2594796129,187.5416627003,187.7704,187.6065801999,53790499.0,1.0,0.0,AAPL,XNAS,"November 15, 2023 12:00 AM"
147.06,147.29,142.59,143.2,63875719.0,147.29,142.59,143.2,147.06,63875720.0,1.0,0.0,AMZN,XNAS,"November 15, 2023 12:00 AM"
134.87,135.03,133.57,134.62,23861520.0,135.03,133.57,134.62,134.87,23861515.0,1.0,0.0,GOOGL,XNAS,"November 15, 2023 12:00 AM"
187.7,188.11,186.3,187.44,60108400.0,187.8712438521,186.0635411709,187.2011,187.4617642393,60108378.0,1.0,0.0,AAPL,XNAS,"November 14, 2023 12:00 AM"
145.0,147.26,144.68,145.8,56674551.0,147.26,144.68,145.8,145.0,56674551.0,1.0,0.0,AMZN,XNAS,"November 14, 2023 12:00 AM"
134.19,135.7,133.32,133.62,32395180.0,135.7,133.32,133.62,134.19,32395178.0,1.0,0.0,GOOGL,XNAS,"November 14, 2023 12:00 AM"
371.01,371.95,367.35,370.27,27683900.0,370.5182806835,365.9314048259,368.8379,369.5818989552,27683862.0,1.0,0.0,MSFT,XNAS,"November 14, 2023 12:00 AM"
448.78,454.075,445.64,448.65,4060884.0,454.075,445.64,448.65,448.78,4060884.0,1.0,0.0,NFLX,XNAS,"November 14, 2023 12:00 AM"
368.22,368.47,365.9,366.68,19986500.0,367.0516759872,364.491568496,365.2618,366.8026382935,19986506.0,1.0,0.0,MSFT,XNAS,"November 13, 2023 12:00 AM"
447.25,448.43,442.6,444.62,2896143.0,448.43,442.6,444.62,447.25,2896143.0,1.0,0.0,NFLX,XNAS,"November 13, 2023 12:00 AM"
185.82,186.03,184.21,184.8,43627500.0,185.7938838648,183.9761938759,184.5645,185.5841504046,43627519.0,1.0,0.0,AAPL,XNAS,"November 13, 2023 12:00 AM"
142.08,143.23,140.67,142.59,35680566.0,143.23,140.67,142.59,142.08,35680570.0,1.0,0.0,AMZN,XNAS,"November 13, 2023 12:00 AM"
131.78,132.59,131.25,132.09,18324750.0,132.59,131.25,132.09,131.78,18324751.0,1.0,0.0,GOOGL,XNAS,"November 13, 2023 12:00 AM"
183.97,186.57,183.53,186.4,66133400.0,186.3282048231,183.297056957,186.1624,183.7364984928,66177922.0,1.0,0.24,AAPL,XNAS,"November 10, 2023 12:00 AM"
